code,set,part
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
bluebird,none,none
